,Headline,url,image_responses
28,Bank of America to stop lending to military-style weapons makers,anonymous-source/all_shooting_images_newest/10391.jpg,"[{'emotion': 'Contentment', 'intensity': '3', 'reason': 'Contentment'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'I am not sure what Bank of America has to do with gun violence.'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'I feel rather indifferent to this bank and its title'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'I feel afraid because of how people can be robbed with guns'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'I feel nothing. Bank of America carries no emotional baggage for me.'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'BOA has stopped giving loans to weapon companies'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Is someone gonna rob BofA? I have an account there.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'maybe there is a robbery here at BOA given the context'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I am afraid guns will be involved with robbing this bank.'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'sad'}]"
32,"SNL,' with Alec Baldwin as Trump, addresses gun control after Parkland school shooting",anonymous-source/all_shooting_images_newest/10734.jpg,"[{'emotion': 'Amusement', 'intensity': '3', 'reason': 'Amusement'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'SNL can be funny sometimes.'}, {'emotion': 'Disgust', 'intensity': '2', 'reason': ""I don't generally find parodies of these political figures funny.""}, {'emotion': 'Amusement', 'intensity': '5', 'reason': 'I am happy because people are highlighting the absurdness of presidents promoting guns '}, {'emotion': 'Amusement', 'intensity': '4', 'reason': ""Alec Baldwin's portrayal of Donald Trump on SNL was funny.""}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'Alec Baldwin has been an advocate for more gun control'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'I like this show poking fun at Donald Trump, but knowing what the actor did in real life it gets too meta.'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'dont think trump did anything good to the situation of gun violence'}, {'emotion': 'Amusement', 'intensity': '5', 'reason': 'I know that this is from a Saturday Night Live skit and I am a big fan of the show, I think it is hilarious.'}, {'emotion': 'Awe', 'intensity': '2', 'reason': 'sad'}]"
36,Gun Control Groups Eclipse N.R.A. in Election Spending,anonymous-source/all_shooting_images_newest/110462.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'Sadness\r\n'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'Hopefully we will have more gun safety laws.'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'I am always glad to see members of different generations fighting for stricter gun laws.'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'I feel joy that of people that try and end gun violence'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'I am cautious to describe this as a positive feeling, as my secondary emotion is anger and frustration at the necessity of the protest. However, the energy and pride the people in this image have about the cause gives me some hope. I am reminded that I am not alone in supporting this cause. I want to join them and make change.'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'they beat the National Riffle Association'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'I agree with taking action.'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'students actions are good because it shows that they have rright views on guns'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'I feel like this is a step towards less gun violence and I am excited by this perceived progress.'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'sad'}]"
37,Shooting at esports event in Florida raises calls for more security,anonymous-source/all_shooting_images_newest/313.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': 'Fear'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Fear because the police are involved. '}, {'emotion': 'Fear', 'intensity': '2', 'reason': 'I worry about the underprivileged people living in this area and what could happen to them'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'I feel afraid of the people that use guns to harm people'}, {'emotion': 'Fear', 'intensity': '2', 'reason': 'I vaguely remember a shooting that occured here. But the presence of police cars at a major public venue, like this one pictured, makes me feel fear and nervousness about what occurred inside.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'this had something to do with video games and gun violence promotion'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Looks like someone died.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'seems like a crime just happened here'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I am worried a tragedy has occurred.'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'sad'}]"
38,Pro-gun Georgia lawmakers punish Delta for crossing the NRA,anonymous-source/all_shooting_images_newest/10722.jpg,"[{'emotion': 'Anger', 'intensity': '3', 'reason': 'Anger'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'Pro-gun lawmakers should not be punishing delta.'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': ""I think it's somewhat funny that the Pro-gun lawmakers were no happy with this.""}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'I feel anger at people that use their influence to promote violence'}, {'emotion': 'Amusement', 'intensity': '2', 'reason': ""Pro-gun lawmakers are okay with companies and public figures supporting the NRA. But the second one does the opposite, they punish them. Their hypocrisy is amusing. However, my secondary emotion is anger because this is an infringement on Delta's rights. Lawmakers should not be punishing anyone for supporting or opposing a third party organization.\r\n\r\nMy feelings are not too strong here, though, as I care very little about Delta Airlines.""}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'good on Delta for taking a stance but it sucks that they are punished for it'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'Why is a political opinion punished?'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'so many students and educators died in the shooting rampage, I support delta in my own position and believe the punishment is unjust'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'I am mad that someone is being punished for being against guns, because I am against guns.'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'sad'}]"
39,Township objects to proposed new rules for Kendall County shooting ranges,anonymous-source/all_shooting_images_newest/100165.jpg,"[{'emotion': 'Contentment', 'intensity': '3', 'reason': 'Contentment\r\n'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I hope they are fighting for gun safety but I fear they are not.'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'I do not know the context of the image'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I feel sad about people that do not take gun violence seriously'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'I do not know who these people are or what they are doing.'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'im not sure what to think of this picture'}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""I don't know what it is.""}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'seems like they are being educated'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'it looks like a classroom setting so maybe they are being educated about gun violence which excites me because they can improve on the problem'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'sad'}]"
44,Judge blocks distribution of 3D-printed gun blueprints until case is resolved,anonymous-source/all_shooting_images_newest/128.jpg,"[{'emotion': 'Fear', 'intensity': '4', 'reason': 'Looks like a 3D printed gun. With that new technology, it will be easier to make guns, even if they cannot do much damage they still have the potential to hurt people '}, {'emotion': 'Contentment', 'intensity': '1', 'reason': ""I feel like the next best thing if gun rights cannot be changed, is better training and protocols put in place to make sure firearms don't end up in the wrong hands. I also prefer seeing non-lethal weapons being used.""}, {'emotion': 'Fear', 'intensity': '1', 'reason': ""it looks kind of innocent, but i don't know what it could become/lead to""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'guns scare me'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'so many people die as victims to gun violence because guns go to the wrong hands'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Worry that one day I might be shot. '}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'a gun'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'i do not like anything related to guns.'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'I do not believe the public should have such easy access to firearms, so seeing images of guns makes me pretty angry'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'I feel scared because I am reminded of a gun and how it can be used to harm a person.'}]"
45,'Stay in your lane': Doctors fire back at the NRA over guns,anonymous-source/all_shooting_images_newest/110065.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': 'I am confused as to why gun stores have to sell weapons of mass destruction. An AK47 is much different than a handgun. Why do people need such big guns?'}, {'emotion': 'Fear', 'intensity': '1', 'reason': ""I've been inside a store that sells rifles for hunting. The gun on the counter makes me feel especially scared because of the color and size. it seems unnecessary for someone to need that kind of gun for hunting.""}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'there are so many readily available, incredibly deadly weapons'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'guns scare me'}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""I think these guns are used for hunting and I don't like how people shoot animals""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Worry that one day I might be shot. '}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'a gun'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'i do not like anything related to guns'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'I feel extreme fear as I fear the violence and repercussion military grade and semi/automatic rifles can inflict on people and myself '}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I am reminded of all the guns that are made accessible in the US and how it can be used to harm persons and myself.'}]"
48,Bank of America to Stop Financing Makers of Military-Style Guns,anonymous-source/all_shooting_images_newest/10755.jpg,"[{'emotion': 'Fear', 'intensity': '2', 'reason': 'Seems like somewhere you could be held at gun point if no one was around'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'the image looks sketchy. I would do my best to not put myself in a potentially dangerous situation, like using an ATM at night.'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'i imagine a robbery which is upsetting'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'No emotion detected'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'someone can come up to you with a gun and threaten you for money'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'people with guns could rob the bank and steal my money. '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'a bank is a place that easily has gun violence.'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'I would be scared of someone coming up with a gun to steal money from me or hurt me.'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'I have been told about being cautious when withdrawing money from an ATM due to robberies that may occur, because of this I feel a decent amount of fear when thinking about being in that situation myself. '}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'I see this image and I am reminded of places where robberies can happen at night.'}]"
51,"After He Subdued a Shooting Suspect, an Armed, Black Security Guard Is Killed by Responding Police",anonymous-source/all_shooting_images_newest/110361.jpg,"[{'emotion': 'Contentment', 'intensity': '2', 'reason': 'Not sure how this relates to gun violence, I just see a selfie'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': ""this seems to be the photo of a victim. I think that because the photo seems older and has a personality (he's at a piano so maybe he plays piano).""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'i assume this is a victim'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'no emotion detected'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': ""I can't tell if he would be a victim or perpetrator in gun violence""}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""I don't know what is going on in this picture.""}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'the tattoo looks he has violence trency.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'it is a person of color connected to gun violence.'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': ""I feel a slight sadness seeing the man's face, as I reflect on the systematic racism in the U.S. and how it fundamentally impacts his life""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I see this image and are reminded of the people of color that are murdered by Police Officers.'}]"
57,3 drivers say man charged in 'stand your ground' shooting death threatened them,anonymous-source/all_shooting_images_newest/391.jpg,"[{'emotion': 'Fear', 'intensity': '5', 'reason': 'it looks like the man on the ground is begging for his life which is scary because it demonstrates the lack of empathy the shooter has (given the context of gun violence) '}, {'emotion': 'Fear', 'intensity': '4', 'reason': ""I don't know the full context of what is going on but the elements in the photo make me scared (someone fleeing, someone on the ground with a pointed gun)""}, {'emotion': 'Fear', 'intensity': '1', 'reason': 'i dont really know whats going on here'}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'it looks like the scene of a crime'}, {'emotion': 'Anger', 'intensity': '5', 'reason': ""while one person is on their knees, another person is running away -- if you're unlucky, you could be the person on their knees""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'did the guy just climb up from the ground to try to shoot? '}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'a man seems to get hurt.'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'this can happen anywhere. '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'The man on the ground seems to be surrendering or pleading for his life which makes me sad for him that he is in this situation where he may loose his life'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'I get scared because I remember robberies that happen with people using guns.'}]"
64,Pittsburgh shooting: Trump says synagogue attack  has little to do  with gun laws,anonymous-source/all_shooting_images_newest/100272.jpg,"[{'emotion': 'Anger', 'intensity': '3', 'reason': 'I feel like Trump was on the news too much and that made other people riled up.'}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'Again, just a terrible man who should have never gotten to the position he did. '}, {'emotion': 'Anger', 'intensity': '3', 'reason': ""trump looks nonchalant about anything that he's talking about""}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'he is an idiot and made American politics a lot worse'}, {'emotion': 'Anger', 'intensity': '3', 'reason': ""I don't believe politician's word toward gun control.""}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'knowing that not much will be change in terms of gun controls'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'I feel like there is way too much content about him '}, {'emotion': 'Disgust', 'intensity': '2', 'reason': 'I can only feel hypocrisy in the picture.'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': ""I'm confused as to why there are so many images of Trump""}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'I hate Donald Trump and everything he stands for, including his stance on gun violence.'}]"
65,3D Printing Vs Gun Control: Navigating The Paradox   Analysis,anonymous-source/all_shooting_images_newest/90478.jpg,"[{'emotion': 'Amusement', 'intensity': '2', 'reason': 'sad'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I would want to know the context in which guns are being mentioned. We, as citizens should be aware of gun violence related happenings around us. '}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'so straightforward lol. just think it should be somehow limited'}, {'emotion': 'Fear', 'intensity': '5', 'reason': ""This one object could end my life if used against me. That's terrifying""}, {'emotion': 'Anger', 'intensity': '1', 'reason': 'My anger stems less from the object and more from the way they are distributed and poorly regulated'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'feel like i could be the protagonist of the gun violence one day '}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I am afraid of guns'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'I do not like guns.'}, {'emotion': 'Fear', 'intensity': '4', 'reason': ""having heard about several news about gun shooting tragedies, I'm afraid that the same thing will happen to me when I saw this image.""}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'I always feel anger, and often disgust, when I see images of guns. This image, though, makes me mostly scared. The front end of guns makes me very, very fearful.'}]"
