,Headline,url,text_responses
34,"Gun-related homicides, suicides kill more people than war, study says",anonymous-source/all_shooting_images_newest/126.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'Gun-related homicides, suicides kill more people than war. It is pathetic.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'deaths related to gun violence '}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'That is a very shocking stat'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'people have too much freedom with buying weapons that it leads to more items to use to kill themselves if they get that low In life. a mentally unwell individual needs to not be able to make such a purchase'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Keep gun control is very important and it is a very big problem'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'that is an insane statistic like absolutely ridiculous and it could be changed so easily but no progress is being made towards that'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'the statistics are very alarming'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'that is a lot of people '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'of the large amount of people who commit suicide'}]"
35,"Spokane, Wash. ends gun sales by police after probe",anonymous-source/all_shooting_images_newest/110042.jpg,"[{'emotion': 'Contentment', 'intensity': '3', 'reason': ""Ending gun sales may save somebody's life.""}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'ends gun sales'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'What is a probe?'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'good on Washington for knowing their limits with distributing weapons'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'It is correct to take action'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""they shouldn't have been selling them in the first place""}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'moving in the right direction'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'something is being done to curb gun sales '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'the less guns there are the less shooting there are'}]"
41,A Black Security Guard Was Killed By Police As He Tried To Stop A Shooting,anonymous-source/all_shooting_images_newest/110335.jpg,"[{'emotion': 'Anger', 'intensity': '4', 'reason': 'the police killed an innocent man for no reason'}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'that is an absolutely disgusting scenario–that someone trying to safe lives gets theirs taken because of prejudices among the police.'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I feel like it a racist issue '}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'an innocent person who was trying to help was shot dead because he was profiled.'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'This is a tragedy and will likely be spun by the media'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'It seems that the security guard is innocent. \r\nI hope the manslaughter is not about race stereotype. '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Not sure what happened, but the man was most likely innocent and just trying to help and got caught in the crossfire. '}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'I feel disgusted because police are still discriminatory and racist even with their contemporaries. They cannot put their biases aside.'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'a man was trying to save peoples lives and he was killed'}, {'emotion': 'Anger', 'intensity': '5', 'reason': 'thats incredibly racist and unfair and im critical of the police'}]"
43,Trump Made False Claims About 9/11 to Justify Hosting a Rally After the Synagogue Shooting,anonymous-source/all_shooting_images_newest/100082.jpg,"[{'emotion': 'Disgust', 'intensity': '4', 'reason': 'trump is a disgusting human to justify his actions'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'it is never okay to make false claims to serve your own agenda'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'I think its funny that president of United States would do something like that'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'cause its wrong'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'Until reading this article it would be unclear if the news is simply spinning this against Trump or whether he actually told a lie.'}, {'emotion': 'Disgust', 'intensity': '2', 'reason': ""Tired of Trump. The president showed no sympathy while hurt other's feelings. ""}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'Terribly rude and insensitive '}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'I feel disgusted because Trump is an awful human being and he has no regard for the loss of human life unless it is white Christians.'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'our president was so inconsiderate and horrible that he lied to hold a rally '}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'i hate trump and thats just so disgusting of him'}]"
44,Judge blocks distribution of 3D-printed gun blueprints until case is resolved,anonymous-source/all_shooting_images_newest/128.jpg,"[{'emotion': 'Contentment', 'intensity': '2', 'reason': 'for now i am content but intriguied to see the next steps'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'the distribution of 3D-printed gun blueprints should not happen.'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'I think the judge did a right thing'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'that is good of the judge'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'Seems like a strange call, but not one that I have enough knowledge to properly have an opinion on'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': ""I'm a fan of strict gun control. ""}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'It seems like a fair solution for the time. '}, {'emotion': 'Awe', 'intensity': '5', 'reason': ""I can't believe that there is even a discussion about distributing blueprints to 3D-print guns. It is already far too easy to gain access to guns in this country.""}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'I am confused as to why this would happen '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'because why are there printed gun blue prints in the first place'}]"
45,'Stay in your lane': Doctors fire back at the NRA over guns,anonymous-source/all_shooting_images_newest/110065.jpg,"[{'emotion': 'Awe', 'intensity': '2', 'reason': 'the doctors stood their ground and spoke the truth'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'I agree with the Doctor'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'I think its unbelievable that some would say something like that especially a doctor'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'the title is vague'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': ""These groups seem like strange enemies.  I guess doctors, like most people, don't like others getting shot but that hardly seems like something they have a lot of say over.""}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'It seems that there is a anti-gun debate and doctors are taking their responsibility.  '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""don't quite understand the headline. hoping the doctors are firing back at the NRA in a way to slow gun violence. ""}, {'emotion': 'Contentment', 'intensity': '5', 'reason': 'I am glad that experts are standing up for themselves and saying something about the disgusting spread of misinformation.'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'it makes me feel happy that people are fighting the NRA in order to keep others safe '}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'anyone yelling at the nra makes me happy'}]"
46,"Firearms, violence and hate crimes are public health issues we must address immediately | TheHill",anonymous-source/all_shooting_images_newest/110481.jpg,"[{'emotion': 'Excitement', 'intensity': '4', 'reason': 'this issue is well overdone and needs to be addressed'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""It's tragic that it is the case, but I do agree.""}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'Because I feel like its the right thing to do.'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'these are issues we need to address'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'Likely not to contain a nuanced viewpoint or any new ideas on the topic.'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""That's totally my viewpoint. ""}, {'emotion': 'Excitement', 'intensity': '5', 'reason': ""it's a movement I would gladly get behind in order to help the community""}, {'emotion': 'Excitement', 'intensity': '5', 'reason': 'Gun violence is a very real issue that requires an immediate response and it is often only addressed in the wake of a tragedy involving gun violence.'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'I completely agree with this statement and am happy that it is being brought to light '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'because its sad that we have to deal with these issues because people are hateful'}]"
48,Bank of America to Stop Financing Makers of Military-Style Guns,anonymous-source/all_shooting_images_newest/10755.jpg,"[{'emotion': 'Contentment', 'intensity': '2', 'reason': 'that is their decision to make'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'I support the defunding of Military-Style Guns'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'I feel like they are doing the right thing'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'it confuses me when big corporations get political. '}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'Seems like a strange move that would need to be examined to discover what they are trying to hide.'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'Good job BoA!'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""If it's for a career where they help supply the military, then I disagree. But If it is to sell to gun stores and on the street, I support. ""}, {'emotion': 'Excitement', 'intensity': '5', 'reason': 'this is a big step in the right direction.'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'this makes me happy that a major corporation is standing there ground and making a statement '}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'because anyone standing up to gun makers makes me happy'}]"
51,"After He Subdued a Shooting Suspect, an Armed, Black Security Guard Is Killed by Responding Police",anonymous-source/all_shooting_images_newest/110361.jpg,"[{'emotion': 'Anger', 'intensity': '3', 'reason': 'yet again the police kill an innocent person'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'absolutely appalled at how this could happen.'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'I think the police I controlled by the stereotype. Also I think its a racist issue'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'that should never happen.'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'Possible Tragic misunderstanding maybe something more'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'Same as the sample 2. '}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'the security guard was only trying to help the police and was killed by them instead'}, {'emotion': 'Disgust', 'intensity': '5', 'reason': ""again, law enforcement officials can't put their biases and racism away at any point.""}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'this makes me so upset that someone who is trying to help other people was killed for no reason '}, {'emotion': 'Anger', 'intensity': '5', 'reason': 'thats so unfair'}]"
56,Police change explanation   again   after killing black man they mistook for an active shooter,anonymous-source/all_shooting_images_newest/110502.jpg,"[{'emotion': 'Disgust', 'intensity': '4', 'reason': 'why do cops continualy kill innocent people'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'there is no excuse'}, {'emotion': 'Anger', 'intensity': '3', 'reason': ""I feel like police aren't feeling regret after multiple events like that happened""}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'this should never happen'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'Someone died, but facts can become clearer over time depending if you trust the police'}, {'emotion': 'Anger', 'intensity': '5', 'reason': ""Can't believe how ridiculous the police had done. ""}, {'emotion': 'Anger', 'intensity': '5', 'reason': ""this headline pops up too much and it's frustrating and heartbreaking to see how common it is.""}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'police cannot just admit that they are racist and own up to their biases that leave innocent people dead.'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'it makes me angry that an innocent man died for no reason '}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'i distrst the police, especially in interactions where they wrongfully kill Black people'}]"
63,Trump's school safety commission would prefer if you didn't talk about gun control,anonymous-source/all_shooting_images_newest/278.jpg,"[{'emotion': 'Excitement', 'intensity': '1', 'reason': 'not sure what happened '}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""don't talk about it doesn't means it's not an issue.""}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'this cannot solve the problem from the source'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Anger', 'intensity': '5', 'reason': ""trump's school safety commission is against the protest of gun violence""}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'School safety is the most important part of gun control'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'if he supports the guns that shoot up schools, children should have the right to know about the policies and ideas that could protect them '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'gun control is important '}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'The government should actively address the problems that exist instead of using such childish language to prevent people from asking questions'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'I feel angry because gun control is so important, and due to school shootings, we see how it affects children also. Thus, it is so important to have these open conversations with them and implement gun control laws to save these kids.'}]"
64,Pittsburgh shooting: Trump says synagogue attack  has little to do  with gun laws,anonymous-source/all_shooting_images_newest/100272.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'not quite believe it '}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'It has everything to do with gun laws.'}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'sure it doesnt '}, {'emotion': 'Anger', 'intensity': '3', 'reason': ""trump speaks out of his ass and doesn't make sense""}, {'emotion': 'Anger', 'intensity': '5', 'reason': ""This is clearly incorrect and disproven by science. But donald trump doesn't accept facts, so I am angry but not surprised. ""}, {'emotion': 'Anger', 'intensity': '5', 'reason': ""I feel anger because this attack definitely has a relation to gun laws, but Trump didn't say the truth.""}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'When I saw he said a shooting has little to do with gun laws, it just makes me angry.'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': ""It's like shirking responsibility to me""}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""trump hasn't understood the severity of the problem""}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'Trump here is passing the buck because he knows his administration has an inescapable responsibility for the incident.'}]"
67,"Doves fly, hundreds form human chain and marquees go dark for 1 year anniversary of Las Vegas shooting",anonymous-source/all_shooting_images_newest/100288.jpg,"[{'emotion': 'Excitement', 'intensity': '1', 'reason': 'actually not familiar with the topic '}, {'emotion': 'Excitement', 'intensity': '3', 'reason': ""I'm glad that they remind people of what happened.""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'the trauma lasts'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'greif for the lost lives in las vegas'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'Stand in silent tribute'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': ""the fact that this even had to happen is ridiculous. If gun control was enacted there is a good chance that this wouldn't have happened in the first place.""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'bad feelings '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""It's sad when innocent people die""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'It is so sad how often tragic gun violence affects our country'}]"
73,U.S. judge halts release of blueprints for 3-D printed guns,anonymous-source/all_shooting_images_newest/296.jpg,"[{'emotion': 'Excitement', 'intensity': '3', 'reason': '3-D printed guns should be avoided. '}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'Why would they release a blueprint for guns? It might cause more gun issues.'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""there's someone in this Country notice the problem""}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'halting gun release is a good thing for gun protest'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'Policy is worth to support for gun control'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'hopefully this will stop it completely because there is no reason for those blueprints to ever be released'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'guns should be banned '}, {'emotion': 'Awe', 'intensity': '4', 'reason': ""That's good""}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'Because it is good that the blueprint is not out there for other companies to try and recreate'}]"
78,School shootings will scar a generation of students,anonymous-source/all_shooting_images_newest/10732.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'students are involved in gun problems as well '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""I feel sad because it's true. ""}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'the trauma lasts. students should not have experienced these at a very young age'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'i agree with this statement'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'Many students would remember that forever'}, {'emotion': 'Anger', 'intensity': '5', 'reason': ""it's true""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'scar a generation of students '}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""Don't hurt student""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'As a student, this is extremely scary for the future of our country'}]"
