,Headline,url,textimage_responses
330,Gaming community and friends mourn Jacksonville shooting victims,anonymous-source/all_shooting_images_newest/112.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'a person was lost do to the actions of a gunmen', 'url': 'anonymous-source/all_shooting_images_newest/112.jpg'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': ""upset and sad because mourning continues but laws don't change"", 'url': 'anonymous-source/all_shooting_images_newest/112.jpg'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'a', 'url': 'anonymous-source/all_shooting_images_newest/112.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'This is a sad story', 'url': 'anonymous-source/all_shooting_images_newest/112.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'it makes sense that they would mourn him and it is sad', 'url': 'anonymous-source/all_shooting_images_newest/112.jpg'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'Death is not a joke. ', 'url': 'anonymous-source/all_shooting_images_newest/112.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'just feel sad while seeing people dying', 'url': 'anonymous-source/all_shooting_images_newest/112.jpg'}, {'emotion': 'Amusement', 'intensity': '4', 'reason': 'fear', 'url': 'anonymous-source/all_shooting_images_newest/112.jpg'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'They are both very young.', 'url': 'anonymous-source/all_shooting_images_newest/112.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'these kids are way too young to have lost their lives, especially to gun violence. so disgusting. ', 'url': 'anonymous-source/all_shooting_images_newest/112.jpg'}]"
331,Trump visits Florida hospital after school shooting,anonymous-source/all_shooting_images_newest/10343.jpg,"[{'emotion': 'Contentment', 'intensity': '3', 'reason': 'even though he is garbage it was nice he visited, but still a garbage PR move that was only done in that regard. so i guess it sucks but thats not an option', 'url': 'anonymous-source/all_shooting_images_newest/10343.jpg'}, {'emotion': 'Anger', 'intensity': '5', 'reason': 'Trump did nothing to stop gun violence', 'url': 'anonymous-source/all_shooting_images_newest/10343.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'daf', 'url': 'anonymous-source/all_shooting_images_newest/10343.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'This is a good gesture. ', 'url': 'anonymous-source/all_shooting_images_newest/10343.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'I think it is good for him to visit victims', 'url': 'anonymous-source/all_shooting_images_newest/10343.jpg'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'The fact that Trump decided to come only when the school shooting happened. Where was he before that?', 'url': 'anonymous-source/all_shooting_images_newest/10343.jpg'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': ""his behavior won't change the situation "", 'url': 'anonymous-source/all_shooting_images_newest/10343.jpg'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'anger', 'url': 'anonymous-source/all_shooting_images_newest/10343.jpg'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'I feel like Trump is just making himself look good for the public. ', 'url': 'anonymous-source/all_shooting_images_newest/10343.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'this gives me hope ', 'url': 'anonymous-source/all_shooting_images_newest/10343.jpg'}]"
337,Parkland survivor details her experience during shooting at Kavanaugh hearing,anonymous-source/all_shooting_images_newest/90149.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'it mustve been so painful to relive those memories because the incident itself wasnt enought to make change to ensure childrens safety. children.', 'url': 'anonymous-source/all_shooting_images_newest/90149.jpg'}, {'emotion': 'Awe', 'intensity': '4', 'reason': ""I admire the courage this must've taken her"", 'url': 'anonymous-source/all_shooting_images_newest/90149.jpg'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'a', 'url': 'anonymous-source/all_shooting_images_newest/90149.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Hearing this detailed recount makes me sad', 'url': 'anonymous-source/all_shooting_images_newest/90149.jpg'}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'I think that it is amazing that she was able to talk about her experience ', 'url': 'anonymous-source/all_shooting_images_newest/90149.jpg'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'The buzz words cause an immediate response (survivor, shooting). I cannot feel a single thing but sadness for the survivor and that she has to go through something like that.  ', 'url': 'anonymous-source/all_shooting_images_newest/90149.jpg'}, {'emotion': 'Awe', 'intensity': '3', 'reason': ""I feel like she's brave"", 'url': 'anonymous-source/all_shooting_images_newest/90149.jpg'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'excitement', 'url': 'anonymous-source/all_shooting_images_newest/90149.jpg'}, {'emotion': 'Awe', 'intensity': '3', 'reason': ""It's very brave for her to share her voice"", 'url': 'anonymous-source/all_shooting_images_newest/90149.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'this is so traumatizing', 'url': 'anonymous-source/all_shooting_images_newest/90149.jpg'}]"
343,Florida lawmakers pass bill that would allow school staff to carry guns,anonymous-source/all_shooting_images_newest/10093.jpg,"[{'emotion': 'Sadness', 'intensity': '4', 'reason': ""This is sad because as long as guns aren't going away, this may be necessary."", 'url': 'anonymous-source/all_shooting_images_newest/10093.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'More guns in schools is the opposite of what needs to happen', 'url': 'anonymous-source/all_shooting_images_newest/10093.jpg'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'the guns could go to the wrong hands and it makes me feel extremely unsafe. ', 'url': 'anonymous-source/all_shooting_images_newest/10093.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'the picture of the students at school with all the safety officials really sacres me because it paints the picture of what could become the reality ', 'url': 'anonymous-source/all_shooting_images_newest/10093.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Since I hate guns but might feel a little safer ', 'url': 'anonymous-source/all_shooting_images_newest/10093.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'that is very dangerous to carry guns around', 'url': 'anonymous-source/all_shooting_images_newest/10093.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'it might be safe for the students but can also gone wrong towards the other direction', 'url': 'anonymous-source/all_shooting_images_newest/10093.jpg'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': ""I think this measure has both advantages and disadvantages. On the one hand, it may also affect students' panic, but on the other hand, school staff can quickly protect students in the face of campus shooting."", 'url': 'anonymous-source/all_shooting_images_newest/10093.jpg'}, {'emotion': 'Anger', 'intensity': '5', 'reason': 'that is not an adequate solution... there should be laws banning guns, not adding more ', 'url': 'anonymous-source/all_shooting_images_newest/10093.jpg'}, {'emotion': 'Fear', 'intensity': '1', 'reason': 'I would not go to a Florida school nowadays.  Even though I lived in FL for 10 years.', 'url': 'anonymous-source/all_shooting_images_newest/10093.jpg'}]"
346,Synagogue shooting suspect appears in court as Pittsburgh prepares for Trump's visit,anonymous-source/all_shooting_images_newest/100320.jpg,"[{'emotion': 'Disgust', 'intensity': '5', 'reason': 'This headline throws partisan bait for no reason.', 'url': 'anonymous-source/all_shooting_images_newest/100320.jpg'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'All aspects of this annoy me', 'url': 'anonymous-source/all_shooting_images_newest/100320.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""the image shows how there's a funeral going on. It reminds me of all the victims that have been injured or may have passed away because of the shooter. "", 'url': 'anonymous-source/all_shooting_images_newest/100320.jpg'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'the picture of the candlelight service is very solemn ', 'url': 'anonymous-source/all_shooting_images_newest/100320.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Feel like safety is a problem', 'url': 'anonymous-source/all_shooting_images_newest/100320.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'that was dangerous I hope everyone is safe', 'url': 'anonymous-source/all_shooting_images_newest/100320.jpg'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': ""government should have strict restrictions on gun control so that there wouldn't any gun violence tragedies anymore. "", 'url': 'anonymous-source/all_shooting_images_newest/100320.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I feel so sad, people lost their lives because of guns control question.', 'url': 'anonymous-source/all_shooting_images_newest/100320.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'the image is so powerful, it saddens me to see any images of vigils', 'url': 'anonymous-source/all_shooting_images_newest/100320.jpg'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': ""I've already conveyed my emotions, ya'll drained me.  I hope the study was about desensitizing because you have succeeded."", 'url': 'anonymous-source/all_shooting_images_newest/100320.jpg'}]"
351,New York tightens gun restrictions for domestic abusers,anonymous-source/all_shooting_images_newest/10271.jpg,"[{'emotion': 'Disgust', 'intensity': '4', 'reason': 'It reveals how deep the problem is when this is treated as newsworthy.', 'url': 'anonymous-source/all_shooting_images_newest/10271.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'These laws need to be tightened ', 'url': 'anonymous-source/all_shooting_images_newest/10271.jpg'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': ""it's the bare minimum. "", 'url': 'anonymous-source/all_shooting_images_newest/10271.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""this makes me feel safer as someone who's family lives in new york. "", 'url': 'anonymous-source/all_shooting_images_newest/10271.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'this news indicates that the crime rate of guns would decrease, makes me feel good', 'url': 'anonymous-source/all_shooting_images_newest/10271.jpg'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': ""yes restrict guns please that's good"", 'url': 'anonymous-source/all_shooting_images_newest/10271.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'I feel happy because I think do need to tighten the gun restrictions to prevent future gun violence. ', 'url': 'anonymous-source/all_shooting_images_newest/10271.jpg'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'This is a very correct action', 'url': 'anonymous-source/all_shooting_images_newest/10271.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'That is a good thing', 'url': 'anonymous-source/all_shooting_images_newest/10271.jpg'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'This is amazing how it happened so recently.  Anyone with any history of violence should be excluded from being allowed to own guns AT THE BARE MINIMUM.', 'url': 'anonymous-source/all_shooting_images_newest/10271.jpg'}]"
354,Illinois superintendent becomes police officer so she can carry a gun in her school,anonymous-source/all_shooting_images_newest/100035.jpg,"[{'emotion': 'Amusement', 'intensity': '4', 'reason': 'I just have to laugh at the absurdity of this being something that is even considered.', 'url': 'anonymous-source/all_shooting_images_newest/100035.jpg'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'This is insane', 'url': 'anonymous-source/all_shooting_images_newest/100035.jpg'}, {'emotion': 'Fear', 'intensity': '4', 'reason': ""it's absolutely scary the lengths people will go to carry a gun around. "", 'url': 'anonymous-source/all_shooting_images_newest/100035.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'it makes me sad to think about the lengths that people have to go through to feel safe ', 'url': 'anonymous-source/all_shooting_images_newest/100035.jpg'}, {'emotion': 'Fear', 'intensity': '1', 'reason': 'confused about why she wants to carry a gun in school', 'url': 'anonymous-source/all_shooting_images_newest/100035.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'what why do you want to carry guns in schools', 'url': 'anonymous-source/all_shooting_images_newest/100035.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""The title is a little bit misleading and if the superintendent tried to become a police officer only so that she can carry guns, then it's quite creepy. "", 'url': 'anonymous-source/all_shooting_images_newest/100035.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'First of all, I was sad because it was a decision made to protect the safety of the students, but on the other hand, I was glad that it was a decision made to protect the safety of the students', 'url': 'anonymous-source/all_shooting_images_newest/100035.jpg'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'that is just incredibly ridiculous ', 'url': 'anonymous-source/all_shooting_images_newest/100035.jpg'}, {'emotion': 'Amusement', 'intensity': '1', 'reason': ""This is hilarious I don't understand how this makes sense."", 'url': 'anonymous-source/all_shooting_images_newest/100035.jpg'}]"
357,Poll: most US teens are worried that a shooting could happen at their school,anonymous-source/all_shooting_images_newest/10820.jpg,"[{'emotion': 'Fear', 'intensity': '4', 'reason': 'The results of the poll are completely understandable and logical and it make me afraid to someday have kids of my own.', 'url': 'anonymous-source/all_shooting_images_newest/10820.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Because I often worry about school shootings and it is a horrible way to go through life', 'url': 'anonymous-source/all_shooting_images_newest/10820.jpg'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'I could relate, but we should not feel this way. ', 'url': 'anonymous-source/all_shooting_images_newest/10820.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""it's sad that so many teens experience this kind of anxiety; the picture also hits close to home because it is relatable (lockdown drills are pretty common"", 'url': 'anonymous-source/all_shooting_images_newest/10820.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""the frequently happening gun crimes are hurting the students' heart"", 'url': 'anonymous-source/all_shooting_images_newest/10820.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'students should not have to go through this. ', 'url': 'anonymous-source/all_shooting_images_newest/10820.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': ""it's really sad that children are worried about their safety when school should be the safest place. "", 'url': 'anonymous-source/all_shooting_images_newest/10820.jpg'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'Because the personal safety of these teenagers is at risk at any time', 'url': 'anonymous-source/all_shooting_images_newest/10820.jpg'}, {'emotion': 'Anger', 'intensity': '5', 'reason': 'this is a true emotion I have felt for the majority of my life. I hate that it is the case and it angers me that so many others feel this way.', 'url': 'anonymous-source/all_shooting_images_newest/10820.jpg'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'It sucks they have to feel this at all but hope its not too much of a worry.', 'url': 'anonymous-source/all_shooting_images_newest/10820.jpg'}]"
358,Trevor Noah: Using buckets of rocks to fend off school shooters 'is such a dumb idea',anonymous-source/all_shooting_images_newest/10701.jpg,"[{'emotion': 'Anger', 'intensity': '4', 'reason': ""I don't like Trevor Noah because he frequently comments on these issues by reducing them to cheap points."", 'url': 'anonymous-source/all_shooting_images_newest/10701.jpg'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'Although Trevor Noah is humorous, this is ridiculous ', 'url': 'anonymous-source/all_shooting_images_newest/10701.jpg'}, {'emotion': 'Amusement', 'intensity': '1', 'reason': 'I enjoy Trevor Noah as a comedian. ', 'url': 'anonymous-source/all_shooting_images_newest/10701.jpg'}, {'emotion': 'Disgust', 'intensity': '1', 'reason': ""I don't really care about what Trevor Noah thinks "", 'url': 'anonymous-source/all_shooting_images_newest/10701.jpg'}, {'emotion': 'Anger', 'intensity': '1', 'reason': ""I know it's a dumb idea"", 'url': 'anonymous-source/all_shooting_images_newest/10701.jpg'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'because it is such a dumb idea he is right', 'url': 'anonymous-source/all_shooting_images_newest/10701.jpg'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': ""it's true that we need better protections for schools and children, and buckets of rocks certainly would not work. "", 'url': 'anonymous-source/all_shooting_images_newest/10701.jpg'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': ""It's not funny，but it's the tureth"", 'url': 'anonymous-source/all_shooting_images_newest/10701.jpg'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'it is a dumb idea I agree with him', 'url': 'anonymous-source/all_shooting_images_newest/10701.jpg'}, {'emotion': 'Amusement', 'intensity': '1', 'reason': 'Yeah I agree.  Who suggested the rock thing?', 'url': 'anonymous-source/all_shooting_images_newest/10701.jpg'}]"
360,Trump's 'Angel Families' weaponize their grief to demonize immigrants,anonymous-source/all_shooting_images_newest/10009.jpg,"[{'emotion': 'Amusement', 'intensity': '3', 'reason': ""it's two unrelated things."", 'url': 'anonymous-source/all_shooting_images_newest/10009.jpg'}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""This is framing immigrants in a bad light when they don't deserve it"", 'url': 'anonymous-source/all_shooting_images_newest/10009.jpg'}, {'emotion': 'Anger', 'intensity': '2', 'reason': 'Trump did nothing to control guns.', 'url': 'anonymous-source/all_shooting_images_newest/10009.jpg'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'its racism', 'url': 'anonymous-source/all_shooting_images_newest/10009.jpg'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': ""I'm not quite sure what the news headlines mean."", 'url': 'anonymous-source/all_shooting_images_newest/10009.jpg'}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""I don't like how politics are based on the sacrifice/death of families."", 'url': 'anonymous-source/all_shooting_images_newest/10009.jpg'}, {'emotion': 'Fear', 'intensity': '2', 'reason': 'If this caption is true then Donald Trump is crazier then I thought, and he should never be president again.', 'url': 'anonymous-source/all_shooting_images_newest/10009.jpg'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'it is upsetting that victims cannot be recognized for who they are and instead we put down the criminals because they are immigrants and not for their actions alone ', 'url': 'anonymous-source/all_shooting_images_newest/10009.jpg'}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""I am appalled my Trump's lack of empathy "", 'url': 'anonymous-source/all_shooting_images_newest/10009.jpg'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': ""Politicians using other people's personal tragedies to further their agenda is disgusting. It makes me angry as well because they're treating illegal immigrants as if they are the only ones who have ever driven drunk. They are misdirecting their attention to the wrong problem."", 'url': 'anonymous-source/all_shooting_images_newest/10009.jpg'}]"
362,"Pelosi meets with Parkland students and parents, says gun control would be atop Dems  agenda",anonymous-source/all_shooting_images_newest/100214.jpg,"[{'emotion': 'Contentment', 'intensity': '3', 'reason': 'I agree with this approach.', 'url': 'anonymous-source/all_shooting_images_newest/100214.jpg'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'Gun control needs to be talked about', 'url': 'anonymous-source/all_shooting_images_newest/100214.jpg'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'gov. is doing something.', 'url': 'anonymous-source/all_shooting_images_newest/100214.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'someone is doing something to help', 'url': 'anonymous-source/all_shooting_images_newest/100214.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""It's great she is trying to fix the issue of gun violence but it makes me sad to think about the grief the parents that she is talking to must be experiencing. "", 'url': 'anonymous-source/all_shooting_images_newest/100214.jpg'}, {'emotion': 'Amusement', 'intensity': '4', 'reason': 'I am not a political fans. However, I think I would support this party if it promotes gun control.', 'url': 'anonymous-source/all_shooting_images_newest/100214.jpg'}, {'emotion': 'Awe', 'intensity': '1', 'reason': 'Wow, I never realized how Nancy Pelosi is, and I think we need some new leaders.', 'url': 'anonymous-source/all_shooting_images_newest/100214.jpg'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'this is how it should be everywhere ', 'url': 'anonymous-source/all_shooting_images_newest/100214.jpg'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'gun control is finally being taken more seriously ', 'url': 'anonymous-source/all_shooting_images_newest/100214.jpg'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': ""I'm content that people are working towards better gun control, but it's still sad that politicians use tragedies like this to bring about their policies, even if it is to remedy the problem."", 'url': 'anonymous-source/all_shooting_images_newest/100214.jpg'}]"
365,"Guns found at 2 schools, threats reported at 3 schools near Santa Fe High School on 1st day back after mass shooting",anonymous-source/all_shooting_images_newest/10157.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'I think it is irresponsible to check the issue after it happened.', 'url': 'anonymous-source/all_shooting_images_newest/10157.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'School shootings are extremely common', 'url': 'anonymous-source/all_shooting_images_newest/10157.jpg'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'children need to be protected, and  how to make them safe?', 'url': 'anonymous-source/all_shooting_images_newest/10157.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'childrens lives were in danger', 'url': 'anonymous-source/all_shooting_images_newest/10157.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'There are so many shootings and so many lives continue to be lost due to the loose gun regulations set in place in the country at the moment. ', 'url': 'anonymous-source/all_shooting_images_newest/10157.jpg'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'School supposed to be a safe environment for students to learn. This is threatening.', 'url': 'anonymous-source/all_shooting_images_newest/10157.jpg'}, {'emotion': 'Awe', 'intensity': '2', 'reason': 'That many in such a short period of time. People need to chill out!', 'url': 'anonymous-source/all_shooting_images_newest/10157.jpg'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'the families and friends of these young kids must be so devasted; they are so young ', 'url': 'anonymous-source/all_shooting_images_newest/10157.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'students are in fear at school when they should be focusing on learning', 'url': 'anonymous-source/all_shooting_images_newest/10157.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""I'm sad because people see a tragic event like this and they take advantage of it, or they emphasize with the shooter."", 'url': 'anonymous-source/all_shooting_images_newest/10157.jpg'}]"
366,"My Father, a Judge, Said a Gun Control Case Was One of His Hardest. Now I See Why.",anonymous-source/all_shooting_images_newest/90325.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'After hearing about so many gun incidents, knowing how many people have guns in the United States, and understanding the gun laws in the United States, I can understand the importance and difficulty of gun control.', 'url': 'anonymous-source/all_shooting_images_newest/90325.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""Many people don't see the lack of gun control as an issue"", 'url': 'anonymous-source/all_shooting_images_newest/90325.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'people died or injured ,and gun control is difficult to realize.', 'url': 'anonymous-source/all_shooting_images_newest/90325.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'that gun control still leads to the trauma of many', 'url': 'anonymous-source/all_shooting_images_newest/90325.jpg'}, {'emotion': 'Fear', 'intensity': '4', 'reason': ""It's disturbing to see someone on a stretcher probably fighting for their life."", 'url': 'anonymous-source/all_shooting_images_newest/90325.jpg'}, {'emotion': 'Fear', 'intensity': '4', 'reason': ""Guns took away lots of people's lives. It is important for people to be aware of gun violation."", 'url': 'anonymous-source/all_shooting_images_newest/90325.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""It shouldn't have taken that long for them to figure it out. No one should have to go through this."", 'url': 'anonymous-source/all_shooting_images_newest/90325.jpg'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'I am curious as to why this is ', 'url': 'anonymous-source/all_shooting_images_newest/90325.jpg'}, {'emotion': 'Anger', 'intensity': '3', 'reason': ""it shouldn't have to be a debate whether gun laws should be put in place or not"", 'url': 'anonymous-source/all_shooting_images_newest/90325.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""People get hurt from guns, and so many who are only focused on their 'rights' overlook the damage guns can cause."", 'url': 'anonymous-source/all_shooting_images_newest/90325.jpg'}]"
369,November 13 12:27 PM Man gets prison for shooting at black teen asking for directions,anonymous-source/all_shooting_images_newest/110427.jpg,"[{'emotion': 'Anger', 'intensity': '3', 'reason': 'racial discrimination is closely related to gun violence.', 'url': 'anonymous-source/all_shooting_images_newest/110427.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'An innocent man lost his life', 'url': 'anonymous-source/all_shooting_images_newest/110427.jpg'}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""that's racism, and the criminal should be treated the same way"", 'url': 'anonymous-source/all_shooting_images_newest/110427.jpg'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'disgusting that this man shot at a child', 'url': 'anonymous-source/all_shooting_images_newest/110427.jpg'}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""Although it is reassuring to read that a man got sentenced to time in jail for taking someone's life, it still does not dismiss the fact they he took someone's life. It is even more disappointing because it was another white man killing a person of color. "", 'url': 'anonymous-source/all_shooting_images_newest/110427.jpg'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'Everyone is equal. This white person shots a child only because he asks for direction or he is black? This is disgusting.', 'url': 'anonymous-source/all_shooting_images_newest/110427.jpg'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'At this point, at his age, and his point in life, there is no else to blame other than himself. I hope he gets what he deserves.', 'url': 'anonymous-source/all_shooting_images_newest/110427.jpg'}, {'emotion': 'Disgust', 'intensity': '5', 'reason': ""people are so cruel and racist it's disgusting that some still think this way in 2021"", 'url': 'anonymous-source/all_shooting_images_newest/110427.jpg'}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'racism is a disgusting issue that are killing innocent people', 'url': 'anonymous-source/all_shooting_images_newest/110427.jpg'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'Racial prejudice makes me angry because it is so stupid.', 'url': 'anonymous-source/all_shooting_images_newest/110427.jpg'}]"
371,Baldwin returns to 'SNL' as Trump flip-flopping on gun control,anonymous-source/all_shooting_images_newest/10798.jpg,"[{'emotion': 'Anger', 'intensity': '3', 'reason': ""I don't think he paid enough attention to this serious issue."", 'url': 'anonymous-source/all_shooting_images_newest/10798.jpg'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'It is funny content about a serious issue', 'url': 'anonymous-source/all_shooting_images_newest/10798.jpg'}, {'emotion': 'Anger', 'intensity': '3', 'reason': ""that's for their benefit rather than people's"", 'url': 'anonymous-source/all_shooting_images_newest/10798.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'hate that people in charge are bad and even has to have parodies made', 'url': 'anonymous-source/all_shooting_images_newest/10798.jpg'}, {'emotion': 'Amusement', 'intensity': '4', 'reason': ""I think the intent of the skit is to mock Trump but I don't see how it would help in moving things forward regarding the issue of gun control."", 'url': 'anonymous-source/all_shooting_images_newest/10798.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Trump needs to make a decision and takes action on gun control.', 'url': 'anonymous-source/all_shooting_images_newest/10798.jpg'}, {'emotion': 'Amusement', 'intensity': '1', 'reason': ""It's just cheap comedy and it's doesn't benefit anyone else in anyway other than providing a cheap laugh."", 'url': 'anonymous-source/all_shooting_images_newest/10798.jpg'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'this is a lighthearted way to joke about a serious topic that NEEDS more attention from the media ', 'url': 'anonymous-source/all_shooting_images_newest/10798.jpg'}, {'emotion': 'Amusement', 'intensity': '2', 'reason': 'Trump is a joke and comedians are leveraging that', 'url': 'anonymous-source/all_shooting_images_newest/10798.jpg'}, {'emotion': 'Amusement', 'intensity': '1', 'reason': 'This is a funny way at looking at the very serious changes in stance Trump is apparently making.', 'url': 'anonymous-source/all_shooting_images_newest/10798.jpg'}]"
