,Headline,url,text_responses
51,"After He Subdued a Shooting Suspect, an Armed, Black Security Guard Is Killed by Responding Police",anonymous-source/all_shooting_images_newest/110361.jpg,"[{'emotion': 'Anger', 'intensity': '3', 'reason': 'yet again the police kill an innocent person'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'absolutely appalled at how this could happen.'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'I think the police I controlled by the stereotype. Also I think its a racist issue'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'that should never happen.'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'Possible Tragic misunderstanding maybe something more'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'Same as the sample 2. '}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'the security guard was only trying to help the police and was killed by them instead'}, {'emotion': 'Disgust', 'intensity': '5', 'reason': ""again, law enforcement officials can't put their biases and racism away at any point.""}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'this makes me so upset that someone who is trying to help other people was killed for no reason '}, {'emotion': 'Anger', 'intensity': '5', 'reason': 'thats so unfair'}]"
60,Vernon Hills teen accused of wearing white supremacist shirt pleads not guilty to weapons charges,anonymous-source/all_shooting_images_newest/10107.jpg,"[{'emotion': 'Excitement', 'intensity': '1', 'reason': 'not sure what happened '}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'personal attack makes me angry and fear.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Teenagers have access to gun, which may lead them to do something extreme as they are not mentally mature.'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'the white supremacist teen holding weapons and not pleads guilty'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'I can understand the extreme racism'}, {'emotion': 'Anger', 'intensity': '3', 'reason': ""most likely he was guilty but you never know and it's hard to respond to a headline like that without more context""}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'they are guilty'}, {'emotion': 'Anger', 'intensity': '5', 'reason': 'Because their arrogance is very infuriating'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'white supremacy is extremely bad'}]"
61,He Created 3D-Printed Guns And Funded Neo-Nazis. Now He's An International Fugitive.,anonymous-source/all_shooting_images_newest/90054.jpg,"[{'emotion': 'Excitement', 'intensity': '3', 'reason': 'people like him should be arrested '}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'it met my expectation'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""there's always somebody with gun that can be a threat to the society. but thankfully he's an international fugitive now""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'a printed guns developer and neo-nazis funder is a threat to the citizens, but now he is an international fugitive, becoming the threats to international'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'He is very dangers person'}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""someone like that is dangerous and shouldn't be running free somewhere and it's terrifying that people can do that""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'guns related '}, {'emotion': 'Disgust', 'intensity': '5', 'reason': ""It's only natural that criminals are disgusting""}, {'emotion': 'Fear', 'intensity': '4', 'reason': '3D printed guns are a new form of technologies that can be used for bad'}]"
63,Trump's school safety commission would prefer if you didn't talk about gun control,anonymous-source/all_shooting_images_newest/278.jpg,"[{'emotion': 'Excitement', 'intensity': '1', 'reason': 'not sure what happened '}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""don't talk about it doesn't means it's not an issue.""}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'this cannot solve the problem from the source'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Anger', 'intensity': '5', 'reason': ""trump's school safety commission is against the protest of gun violence""}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'School safety is the most important part of gun control'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'if he supports the guns that shoot up schools, children should have the right to know about the policies and ideas that could protect them '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'gun control is important '}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'The government should actively address the problems that exist instead of using such childish language to prevent people from asking questions'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'I feel angry because gun control is so important, and due to school shootings, we see how it affects children also. Thus, it is so important to have these open conversations with them and implement gun control laws to save these kids.'}]"
66, March for Our Rights  rally draws thousands of pro-gun supporters in Washington state,anonymous-source/all_shooting_images_newest/10366.jpg,"[{'emotion': 'Excitement', 'intensity': '1', 'reason': 'actually not familiar with the topic '}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'Fear of the shooting might happen'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'most people are rational and want to stand out to fight for peaceful and safe life'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'pro-gun supporter is protecting the rights for the foundation of gun shooters to get weapons easier.'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'It is human rights to hold gun to protect themselves but appeal more people holding guns is not expected '}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'that is a terrifying setting and a disgusting ""cause"" and is just asking for murder and violence and danger'}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""I don't agree pro-guns ""}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""It's hard to imagine what it would be like to have a thousand people with guns around me, it's very scary.""}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'Pro-gun supporters think that the 2nd amendment gives them the right to carry these extremely unnecessary rifles, which only cause more harm than good.'}]"
67,"Doves fly, hundreds form human chain and marquees go dark for 1 year anniversary of Las Vegas shooting",anonymous-source/all_shooting_images_newest/100288.jpg,"[{'emotion': 'Excitement', 'intensity': '1', 'reason': 'actually not familiar with the topic '}, {'emotion': 'Excitement', 'intensity': '3', 'reason': ""I'm glad that they remind people of what happened.""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'the trauma lasts'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'greif for the lost lives in las vegas'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'Stand in silent tribute'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': ""the fact that this even had to happen is ridiculous. If gun control was enacted there is a good chance that this wouldn't have happened in the first place.""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'bad feelings '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""It's sad when innocent people die""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'It is so sad how often tragic gun violence affects our country'}]"
68,"Naperville students remember shooting victims, call for gun reform during national school walkout",anonymous-source/all_shooting_images_newest/10590.jpg,"[{'emotion': 'Excitement', 'intensity': '3', 'reason': 'more and more students are paying attention on this problem'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'I wonder what affects it will have on the gun control.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'students were negatively affected by gun violence at a young age'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'students call for gun reform'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': ""It is a good opportunity to draw people's attention""}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'these kids are the future and are doing their best to create safe spaces and fighting for what is right'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'sad for shooting victims '}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'Such an event is exciting and I hope more people will take this matter seriously'}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'It is amazing how these Naperville students are using the trauma they experienced for good'}]"
70,Griffith student charged with accidentally bringing loaded gun inside high school,anonymous-source/all_shooting_images_newest/10112.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': ""students' life may be put in danger ""}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""I don't believe it's accidental.""}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'why student at that age can have access to the gun'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'I think it is interesting'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'even though the student is accidentally bringing loaded gun, but being charged is teh symbol of awareness against gun'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'It is just a mistake'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'there is no ""accidentally"" and the consequences for that are definitely less than anything else'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'gun'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'No one will allow a student to bring a gun to school!!'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'how does somebody accidentally bring a loaded killing machine to school?'}]"
71,"More than 20,000 Americans a year kill themselves with a gun. Alarmed gun sellers are joining the suicide prevention fight.",anonymous-source/all_shooting_images_newest/90109.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'so many people choose gun to consider suicide '}, {'emotion': 'Excitement', 'intensity': '3', 'reason': ""I think it's ironic that the sellers are joining the suicide prevention fight, because the sellers indirectly kill them by selling guns to them.""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""if they hadn't had access to gun, they may not have died""}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'gun violence is not only harming others, but also harms the gun owners themselves'}, {'emotion': 'Amusement', 'intensity': '4', 'reason': 'Even people who sell guns are willing to support mental health struggles'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""i'm sad because of all of these victims but annoyed because gun sellers joining is 100% for show""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'gun kill '}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'Guns should be used for self-defense, not suicide!'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'It just shows how common sense it is that guns are bad... even gun sellers are alarmed by the numbers. I think this can cause real change'}]"
73,U.S. judge halts release of blueprints for 3-D printed guns,anonymous-source/all_shooting_images_newest/296.jpg,"[{'emotion': 'Excitement', 'intensity': '3', 'reason': '3-D printed guns should be avoided. '}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'Why would they release a blueprint for guns? It might cause more gun issues.'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""there's someone in this Country notice the problem""}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'halting gun release is a good thing for gun protest'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'Policy is worth to support for gun control'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'hopefully this will stop it completely because there is no reason for those blueprints to ever be released'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'guns should be banned '}, {'emotion': 'Awe', 'intensity': '4', 'reason': ""That's good""}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'Because it is good that the blueprint is not out there for other companies to try and recreate'}]"
78,School shootings will scar a generation of students,anonymous-source/all_shooting_images_newest/10732.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'students are involved in gun problems as well '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""I feel sad because it's true. ""}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'the trauma lasts. students should not have experienced these at a very young age'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'i agree with this statement'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'Many students would remember that forever'}, {'emotion': 'Anger', 'intensity': '5', 'reason': ""it's true""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'scar a generation of students '}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""Don't hurt student""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'As a student, this is extremely scary for the future of our country'}]"
80,Retired firefighter found guilty for shooting at lost black teen on doorstep,anonymous-source/all_shooting_images_newest/100223.jpg,"[{'emotion': 'Anger', 'intensity': '2', 'reason': 'I just think that news is sensational'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'racist and a teenager got gun shot'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': ""I don't know the background of the event but it makes it seem like the teen was innocent and did not deserve to get shot.""}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'adding retired firefighter is unnecessary and only serves to humanize the shooter'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': ""It makes me upset when I hear about someone who died that didn't deserve it \r\n""}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'he recognized his mistakes'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'I like it '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': ""It's all too common to see headlines such as these. Innocent lives being lost or targeted because of bias. I would say the article title made me both sad and angry. ""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'it is incredibly unfair and uncalled for'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'Someone died'}]"
84,Massacre fatigue: Do we ignore shootings?,anonymous-source/all_shooting_images_newest/110491.jpg,"[{'emotion': 'Contentment', 'intensity': '1', 'reason': 'You should add annoyed into the list of emotions please.'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'gun problem is being paid more attention '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""I don't necessarily agree with this statement/question. I think we have a lot of work left to do but we have made some progress.""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I 100% agree with the headline. I feel like shootings have become so common that many are now desensitized to the news of it\r\n'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'This makes me sad because seeing the ""do we ignore shootings"" makes me feel as though as the people who have been killed in gun violence died in vain '}, {'emotion': 'Amusement', 'intensity': '4', 'reason': 'There seems will be different ideas in the news. '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'I like it '}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'I believe as the shootings occur we can begin to feel this way. Each shooting is so heartbreaking and terrifying it can only be a matter of time till its too much to take. It also makes me angry that we can even have a headline such as this. The words ""massacre"" and ""shooting"" and ""gun"" should hold more weight than I think they do right now. '}, {'emotion': 'Sadness', 'intensity': '2', 'reason': ""I feel sad this happens but I see it on the news so often it doesn't have much of an affect to me""}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'Sad that we even have to ask'}]"
89,Me + You Productions   Spring Awakening  advocates for gun control   HS Insider,anonymous-source/all_shooting_images_newest/90380.jpg,"[{'emotion': 'Awe', 'intensity': '1', 'reason': 'Again, I do not understand this sentence or headline '}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'gun problem is being paid more attention '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'It makes me safer to know that people are fighting for stricter gun control policies.'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'anything for gun control is good in my book'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'I find this is a good thing and makes me happy because I think we need gun control and a good way to disseminate the importance of it is through things like this. '}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'gun control should be considered carefully.'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Awe', 'intensity': '3', 'reason': ""It's interesting for a Production of Spring Awakening to advocate for gun control, but if this is a high school than I understand it a bit more. I think I'm in awe of the headline because I agree with its sentiment. ""}, {'emotion': 'Contentment', 'intensity': '1', 'reason': ""I'm glad they're advocating for gun control, but I don't see how it can actually improve the situation without real action""}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'I dont know who this is or why I should care'}]"
