,Headline,url,image_responses
32,"SNL,' with Alec Baldwin as Trump, addresses gun control after Parkland school shooting",anonymous-source/all_shooting_images_newest/10734.jpg,"[{'emotion': 'Amusement', 'intensity': '3', 'reason': 'Amusement'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'SNL can be funny sometimes.'}, {'emotion': 'Disgust', 'intensity': '2', 'reason': ""I don't generally find parodies of these political figures funny.""}, {'emotion': 'Amusement', 'intensity': '5', 'reason': 'I am happy because people are highlighting the absurdness of presidents promoting guns '}, {'emotion': 'Amusement', 'intensity': '4', 'reason': ""Alec Baldwin's portrayal of Donald Trump on SNL was funny.""}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'Alec Baldwin has been an advocate for more gun control'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'I like this show poking fun at Donald Trump, but knowing what the actor did in real life it gets too meta.'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'dont think trump did anything good to the situation of gun violence'}, {'emotion': 'Amusement', 'intensity': '5', 'reason': 'I know that this is from a Saturday Night Live skit and I am a big fan of the show, I think it is hilarious.'}, {'emotion': 'Awe', 'intensity': '2', 'reason': 'sad'}]"
36,Gun Control Groups Eclipse N.R.A. in Election Spending,anonymous-source/all_shooting_images_newest/110462.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'Sadness\r\n'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'Hopefully we will have more gun safety laws.'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'I am always glad to see members of different generations fighting for stricter gun laws.'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'I feel joy that of people that try and end gun violence'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'I am cautious to describe this as a positive feeling, as my secondary emotion is anger and frustration at the necessity of the protest. However, the energy and pride the people in this image have about the cause gives me some hope. I am reminded that I am not alone in supporting this cause. I want to join them and make change.'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'they beat the National Riffle Association'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'I agree with taking action.'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'students actions are good because it shows that they have rright views on guns'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'I feel like this is a step towards less gun violence and I am excited by this perceived progress.'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'sad'}]"
38,Pro-gun Georgia lawmakers punish Delta for crossing the NRA,anonymous-source/all_shooting_images_newest/10722.jpg,"[{'emotion': 'Anger', 'intensity': '3', 'reason': 'Anger'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'Pro-gun lawmakers should not be punishing delta.'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': ""I think it's somewhat funny that the Pro-gun lawmakers were no happy with this.""}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'I feel anger at people that use their influence to promote violence'}, {'emotion': 'Amusement', 'intensity': '2', 'reason': ""Pro-gun lawmakers are okay with companies and public figures supporting the NRA. But the second one does the opposite, they punish them. Their hypocrisy is amusing. However, my secondary emotion is anger because this is an infringement on Delta's rights. Lawmakers should not be punishing anyone for supporting or opposing a third party organization.\r\n\r\nMy feelings are not too strong here, though, as I care very little about Delta Airlines.""}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'good on Delta for taking a stance but it sucks that they are punished for it'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'Why is a political opinion punished?'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'so many students and educators died in the shooting rampage, I support delta in my own position and believe the punishment is unjust'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'I am mad that someone is being punished for being against guns, because I am against guns.'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'sad'}]"
39,Township objects to proposed new rules for Kendall County shooting ranges,anonymous-source/all_shooting_images_newest/100165.jpg,"[{'emotion': 'Contentment', 'intensity': '3', 'reason': 'Contentment\r\n'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I hope they are fighting for gun safety but I fear they are not.'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'I do not know the context of the image'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I feel sad about people that do not take gun violence seriously'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'I do not know who these people are or what they are doing.'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'im not sure what to think of this picture'}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""I don't know what it is.""}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'seems like they are being educated'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'it looks like a classroom setting so maybe they are being educated about gun violence which excites me because they can improve on the problem'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'sad'}]"
40,Who is Robert Bowers? Accused Pittsburgh synagogue shooter left anti-semitic trail,anonymous-source/all_shooting_images_newest/100500.jpg,"[{'emotion': 'Fear', 'intensity': '2', 'reason': 'Given the context of gun violence, it can be assumed the person above was prosecuted for gun violence of some sort'}, {'emotion': 'Fear', 'intensity': '2', 'reason': 'the man/mugshot looks intimidating and he reminds me of John Wayne Gacy Jr.'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'the person is a criminal that has committed atrocities.'}, {'emotion': 'Fear', 'intensity': '2', 'reason': ""Wide pupils, weird facial expression, and the context in which this picture has been proposed to me make me feel worried about this guy. maybe I'm wrong and I have been overwhelmed by the situation, but that's my feeling.""}, {'emotion': 'Fear', 'intensity': '2', 'reason': ""because I was told that it was in the context of gun violence -- if I wasn't told that, I would think that he just looks like a normal dad""}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'glad the criminal is caught. '}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'a criminal'}, {'emotion': 'Anger', 'intensity': '5', 'reason': 'it is a cis white man connected to gun violence. looks like a mug shot so probably arrested for something.'}, {'emotion': 'Disgust', 'intensity': '1', 'reason': ""The expression on the man's face made be uncomfortable causing a mild disgust due to his physical attributes.""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I feel scared based on the thought of gun violence and that a person is using a gun to harm people'}]"
41,A Black Security Guard Was Killed By Police As He Tried To Stop A Shooting,anonymous-source/all_shooting_images_newest/110335.jpg,"[{'emotion': 'Contentment', 'intensity': '1', 'reason': 'Not sure how this relates to gun violence, I just see a selfie'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'the man here seems to be a victim.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I assume that he is a victim of police gun violence'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'because it reminds me of the photos of wanted people and serial killers proposed in the news'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'the faded photo kind of seems like it displaying a victim to gun violence'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'glad the criminal is being caught.'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'a crimial.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'person of color involved in gun violence. '}, {'emotion': 'Amusement', 'intensity': '1', 'reason': 'The quality of the photo makes me feel a mild amusement in addition to the downward angle. '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I feel fear since I am a person of color and I have the fear that I maybe involved in gun violence by a police officer'}]"
44,Judge blocks distribution of 3D-printed gun blueprints until case is resolved,anonymous-source/all_shooting_images_newest/128.jpg,"[{'emotion': 'Fear', 'intensity': '4', 'reason': 'Looks like a 3D printed gun. With that new technology, it will be easier to make guns, even if they cannot do much damage they still have the potential to hurt people '}, {'emotion': 'Contentment', 'intensity': '1', 'reason': ""I feel like the next best thing if gun rights cannot be changed, is better training and protocols put in place to make sure firearms don't end up in the wrong hands. I also prefer seeing non-lethal weapons being used.""}, {'emotion': 'Fear', 'intensity': '1', 'reason': ""it looks kind of innocent, but i don't know what it could become/lead to""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'guns scare me'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'so many people die as victims to gun violence because guns go to the wrong hands'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Worry that one day I might be shot. '}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'a gun'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'i do not like anything related to guns.'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'I do not believe the public should have such easy access to firearms, so seeing images of guns makes me pretty angry'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'I feel scared because I am reminded of a gun and how it can be used to harm a person.'}]"
45,'Stay in your lane': Doctors fire back at the NRA over guns,anonymous-source/all_shooting_images_newest/110065.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': 'I am confused as to why gun stores have to sell weapons of mass destruction. An AK47 is much different than a handgun. Why do people need such big guns?'}, {'emotion': 'Fear', 'intensity': '1', 'reason': ""I've been inside a store that sells rifles for hunting. The gun on the counter makes me feel especially scared because of the color and size. it seems unnecessary for someone to need that kind of gun for hunting.""}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'there are so many readily available, incredibly deadly weapons'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'guns scare me'}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""I think these guns are used for hunting and I don't like how people shoot animals""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Worry that one day I might be shot. '}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'a gun'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'i do not like anything related to guns'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'I feel extreme fear as I fear the violence and repercussion military grade and semi/automatic rifles can inflict on people and myself '}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I am reminded of all the guns that are made accessible in the US and how it can be used to harm persons and myself.'}]"
47,Police say Jacksonville shooter 'clearly targeted other gamers.' Here's what we know,anonymous-source/all_shooting_images_newest/386.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': 'this photo demonstrates gun violence is everywhere. It looks like a local bar but with the context of gun violence, something happened'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': ""overtime these images only make me feel sad. I don't get angry because I feel like anger would only cause more divide and more issues.""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': ""there's been yet ANOTHER shooting""}, {'emotion': 'Sadness', 'intensity': '5', 'reason': ""Because it's about the Jacksonville shooting""}, {'emotion': 'Excitement', 'intensity': '2', 'reason': 'it seems like something happened because they of the influence of alcohol'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""I don't know what is going on in this picture.""}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'maybe gun violence is happened.'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'any gun violence scene could have maybe not of happened if we had abolished guns.'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'Because of the police line I feel a little sad as some type of crime has been committed'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'I see a police officer and I am scared.'}]"
48,Bank of America to Stop Financing Makers of Military-Style Guns,anonymous-source/all_shooting_images_newest/10755.jpg,"[{'emotion': 'Fear', 'intensity': '2', 'reason': 'Seems like somewhere you could be held at gun point if no one was around'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'the image looks sketchy. I would do my best to not put myself in a potentially dangerous situation, like using an ATM at night.'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'i imagine a robbery which is upsetting'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'No emotion detected'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'someone can come up to you with a gun and threaten you for money'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'people with guns could rob the bank and steal my money. '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'a bank is a place that easily has gun violence.'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'I would be scared of someone coming up with a gun to steal money from me or hurt me.'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'I have been told about being cautious when withdrawing money from an ATM due to robberies that may occur, because of this I feel a decent amount of fear when thinking about being in that situation myself. '}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'I see this image and I am reminded of places where robberies can happen at night.'}]"
50,"Orlando nightclub gunman remembered as abusive, homophobic and racist",anonymous-source/all_shooting_images_newest/110070.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': 'Given the context of gun violence, this guy seems suspicious '}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""the man's look seems intimidating. I also never feel comfortable about selfies in a car because of similar stories of people taking their last photo/video before committing a heinous act.""}, {'emotion': 'Disgust', 'intensity': '1', 'reason': 'i assume this is a suspect'}, {'emotion': 'Fear', 'intensity': '4', 'reason': ""first image of the guy isn't positive""}, {'emotion': 'Contentment', 'intensity': '1', 'reason': ""I can't tell if he would be a victim or perpetrator in gun violence""}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""I don't know what is going on in this picture.""}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'his face looks dark.'}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'He should not have killed anyone.'}, {'emotion': 'Fear', 'intensity': '1', 'reason': 'knowing the background of 9/11 and other terrorist attacks such as the Boston bombing seeing this photo makes me slightly fearful as the man seems to be of Arab descent'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'I see this image and I am reminded of persons that are involved in shootings.'}]"
52,Trump s Stance on Guns Puts Pressure on Congress,anonymous-source/all_shooting_images_newest/10759.jpg,"[{'emotion': 'Disgust', 'intensity': '3', 'reason': ""Trump is so ignorant to many issues in the country, especially gun violence, I can't imagine what he is trying to say here. Probably something offensive or not helpful""}, {'emotion': 'Disgust', 'intensity': '3', 'reason': ""the girl in the image doesn't seem to be expressing a positive emotion. She seems uncomfortable so I feel uncomfortable.""}, {'emotion': 'Disgust', 'intensity': '5', 'reason': ""he's a despicable person""}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'same as trump before'}, {'emotion': 'Disgust', 'intensity': '2', 'reason': ""I know his history with females and the woman doesn't seem too comfortable behind him""}, {'emotion': 'Amusement', 'intensity': '3', 'reason': ""the women's expression looking at trump makes me wanna laugh. ""}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'I do not like Trump.'}, {'emotion': 'Anger', 'intensity': '5', 'reason': 'It is trump and he should not be able to make statements about gun violence when he supports guns.'}, {'emotion': 'Amusement', 'intensity': '5', 'reason': ""The woman's incredulous expression at former president Donald Trump is very comical to me. ""}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'I see this image and I am reminded of persons that allows guns to be purchased easily.'}]"
53,Dem lawmaker 'sickened' that Pa. school district will let teachers carry guns,anonymous-source/all_shooting_images_newest/100085.jpg,"[{'emotion': 'Contentment', 'intensity': '1', 'reason': 'I do not know who this is so I am not sure how to relate it to gun violence '}, {'emotion': 'Disgust', 'intensity': '2', 'reason': ""I don't like the way he's smiling. It seems like he knows something that I don't. He also seems privileged and that makes me feel a little bit disgusted.""}, {'emotion': 'Disgust', 'intensity': '1', 'reason': ""i dont know who he is but I assume he's pro-gun""}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'no emotion detected'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': ""I'm not sure who he is""}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""I don't know what is going on in this picture.""}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'seems like he gets praises.'}, {'emotion': 'Anger', 'intensity': '5', 'reason': ""I know who that is and I can't stand what he has done.""}, {'emotion': 'Amusement', 'intensity': '5', 'reason': 'The man has a very derpy expression on his face that I find extremely amusing'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'I get reminded of people that promote guns.'}]"
